fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	estimulos	ganancia	iteracion_bayesiana
20221018 205053	590	324819	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0	0	31	1034	1	1	1	0.1	50	0.5	FALSE	690621	0.0637907510786956	0.655328655428988	641	1671	8.85271919887507e-06	16793	67214000	25
20221018 212040	590	324819	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0	0	31	1078	1	1	1	0.1	50	0.5	FALSE	690621	0.0479221443721263	0.574531766361941	842	1737	0.000135566706872094	16404	68632000	26
20221018 212716	590	324819	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0	0	31	326	1	1	1	0.1	50	0.5	FALSE	690621	0.204656378637277	0.716374586730408	824	1716	2.83408049528792e-05	15674	65852000	27
20221018 220608	590	324819	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0	0	31	1930	1	1	1	0.1	50	0.5	FALSE	690621	0.040546934783448	0.992720754202165	821	1747	5.59435900406029e-06	18341	68758000	28
20221018 224309	590	324819	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0	0	31	2118	1	1	1	0.1	50	0.5	FALSE	690621	0.0143658474732849	0.794749848940201	779	1719	0.0012655546016759	17515	67610000	29
20221018 225937	590	324819	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0	0	31	1066	1	1	1	0.1	50	0.5	FALSE	690621	0.0693296533969401	0.956420332274365	889	1751	8.90425189663956e-06	18215	67490000	30
20221018 230751	590	324819	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0	0	31	331	1	1	1	0.1	50	0.5	FALSE	690621	0.07977141256845	0.660487551230721	738	1039	0.00179766165266023	19400	66480000	31
20221019 003311	590	324819	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0	0	31	4642	1	1	1	0.1	50	0.5	FALSE	690621	0.00729726351182795	0.985240450909467	4	1472	3.51575346066271e-06	16661	68598000	32
20221019 004848	590	324819	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0	0	31	891	1	1	1	0.1	50	0.5	FALSE	690621	0.0382749312460084	0.990736353220139	1007	1369	0.00185332828420757	17052	67256000	33
20221019 013412	590	324819	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0	0	31	835	1	1	1	0.1	50	0.5	FALSE	690621	0.0209114434450226	0.57921052588668	6	2047	6.62355927583908e-06	17948	70424000	34
20221019 015017	590	324819	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0	0	31	551	1	1	1	0.1	50	0.5	FALSE	690621	0.0421770009010027	0.59448339889762	3	2046	4.50940045590463e-06	17329	69182000	35
20221019 025226	590	324819	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0	0	31	2634	1	1	1	0.1	50	0.5	FALSE	690621	0.00505447401888819	0.564710050596227	726	1994	0.0183027116629323	17597	66806000	36
20221019 035750	590	324819	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0	0	31	1362	1	1	1	0.1	50	0.5	FALSE	690621	0.0250744992713594	0.556188135500748	87	2044	6.47284876241637e-06	16070	71620000	37
20221019 043831	590	324819	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0	0	31	1630	1	1	1	0.1	50	0.5	FALSE	690621	0.0247193789998893	0.619379288236565	154	2026	6.78037336147654e-06	16962	71356000	38
20221019 054431	590	324819	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0	0	31	2278	1	1	1	0.1	50	0.5	FALSE	690621	0.0263633514842439	0.285320419990076	111	1955	3.1735313994878e-06	16104	71872000	39
20221019 061823	590	324819	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0	0	31	1220	1	1	1	0.1	50	0.5	FALSE	690621	0.0254536647253375	0.383625293017531	108	1568	7.46004666928704e-06	17712	71776000	40
20221019 064659	590	324819	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0	0	31	1076	1	1	1	0.1	50	0.5	FALSE	690621	0.029415363861919	0.398971892595982	114	1790	9.50937804826807e-06	16232	71136000	41
20221019 070640	590	324819	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0	0	31	519	1	1	1	0.1	50	0.5	FALSE	690621	0.0206807098951888	0.245195995222315	107	1662	0.00210157700811064	17149	66982000	42
20221019 072958	590	324819	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0	0	31	875	1	1	1	0.1	50	0.5	FALSE	690621	0.0341617203704208	0.330293546708125	110	1881	9.63024893069088e-06	17791	71538000	43
20221019 085128	590	324819	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0	0	31	2079	1	1	1	0.1	50	0.5	FALSE	690621	0.0188413029817173	0.302922574318104	118	2045	6.41274505162988e-06	16582	71876000	44
